company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
 CellCure Neurosciences Ltd.				בחר איזור תעשיה					02-5722006	שרה אלטמן						Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href=""> CellCure Neurosciences Ltd.</a>	הקובץ של הרל"י	CellCure Neurosciences Ltd	לא	בחר מקור		בחר מגזר	כן	לא	לא	לא	כן	בחר מהות הפניה	לא		513752394	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
3GSolar	http://www.3gsolar.com/	http://www.3gsolar.com/wp-content/themes/3gsolar/images/headerLogo.jpg	3 Hamarpe St. 	HH	Mid	20	Energy		(972) 73 7073750	Barry N. Breen	Based on highly-efficient, low-cost DSC modules, Focused on the global PV market, 3GSolar offers a technical and economic alternative to traditional PV devices.			31.802254	35.211457	Yes, we are hiring!	?											<img src="http://www.3gsolar.com/wp-content/themes/3gsolar/images/headerLogo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.3gsolar.com/">3GSolar</a>	הקובץ של MAdeinJLM	3GSolar																																										
40Nuggets	http://40nuggets.com/	https://40nuggets.com/dashboard/images/logo.png	34 Ben Yoezer Yossi Jerusalem	South 	Young	5	Mobile	Aaron Horowitz			We line up your leads, tell you who wants what, and let you handle the business of selling. Customer intelligence without the hassle.			31.752894	35.206264		V											<img src="https://40nuggets.com/dashboard/images/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://40nuggets.com/">40Nuggets</a>	הקובץ של MAdeinJLM	40Nuggets																																										
Abe's market	http://www.abesmarket.com/	http://skin.abesmarket.com/skin/frontend/abe/responsive/images/header/abeslogo_r.png	Emek Refaim	South 	Mid	30	Internet	Jon Polin			Abe’s Market is the online marketplace that gives natural product entrepreneurs a platform to showcase their products and tell their unique stories.			31.767599	35.223618		V											<img src="http://skin.abesmarket.com/skin/frontend/abe/responsive/images/header/abeslogo_r.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.abesmarket.com/">Abe's market</a>	הקובץ של MAdeinJLM	Abe's market																																										
Accomplish software	http://www.accomplish-software.videoworldgroup.com	http://www.accomplish-software.videoworldgroup.com/photos/white_icon.png	Harav Hisdai Kreshkash 17/2				Mobile	Yonatanreiss@gmail.com 	972505817962	Yonatan Reiss 	Accomplish is a whole new aprouch to time management								Startup			2012		No				<img src="http://www.accomplish-software.videoworldgroup.com/photos/white_icon.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.accomplish-software.videoworldgroup.com">Accomplish software</a>	הקובץ של MAdeinJLM	Accomplish software																																										
Accubeat	http://www.accubeat.co.il		המרפא 5, בית מרכזים, קומה 3	הר חוצבים		3	Hardware		02-5868330	לריסה קלאוז	תכנון , פיתוח וייצור שעונים אטומים מסוג רובידיום, מוצרי זמן טתדר מדוייקים. חברת בת של רפאל			31.802026	35.212115	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.accubeat.co.il">Accubeat</a>	הקובץ של הרל"י	accubeat	לא	הפניה		היי-טק		כן	כן	לא	כן	הרחבת עסק בירושלים	לא	בני לוי	511884538	כן	לא	לא	כן	לא		לא	לא	לא	כן	לא	לא	לא	לא	כן	Yosef Apter	לא	לא	לא		14	9							
Algen Biopharmaceutical	http://www.biojerusalem.org.il/database_company.asp?ID=3	http://madeinjlm.org/map/1px.png	Givat Ram, Jerusalem	GR			Medical				Algen Biopharmaceuticals is developing technologies for tricking cancer cells into “committing suicide” and thus preventing their spread.	Read more: http://www.crunchbase.com/financial-organization/ourcrowd#ixzz2bB4sP82X 		31.779123	35.196724		X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.biojerusalem.org.il/database_company.asp?ID=3">Algen Biopharmaceutical</a>	הקובץ של MAdeinJLM	Algen Biopharmaceutical																																										
Algen Biopharmaceuticals Inc.							Medical																					<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Algen Biopharmaceuticals Inc.</a>	הקובץ של הרל"י		Givat Ram, Jerusalem																																									
AnyClip	http://www.anyclip.com/	http://www.render.co.il/img/gallery/Anyclip_01.jpg	Hevron Road 24, Jerusalem	JVP	Mid	20	Internet	Oren Nauman			AnyClip enables users to find any moment from any movie in its database. Its technology and innovative user experience allows consumers to relive their favorite moments from their favorite movies. AnyClip partners with film and television studios to create new promotional channels for movies and monetize their catalog content. Leveraging its distribution network, AnyClip allows third-party sites to provide their users with fun, exciting and legal movie content services, increasing traffic and ARPU.			31.767147	35.225567	Yes, we are hiring!	V											<img src="http://www.render.co.il/img/gallery/Anyclip_01.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.anyclip.com/">AnyClip</a>	הקובץ של MAdeinJLM	AnyClip																																										
Ariel Kotzer	https://www.behance.net/arielko	https://m1.behance.net/profiles5/103808/01038081247882887.jpg	bezalel 3				Other	arielko@gmail.com	97226747070	Ariel Kotzer	creative: ariel kotzer helps you figure out what you want to say and then helps you say it, convincingly and memorably. online or off, in presentations, clips, campaigns, exhibits, websites and any other tool or media that's relevant to your need. just ask google, intel, and teva, among others.	@arielko2							Service Provider / Outsource									<img src="https://m1.behance.net/profiles5/103808/01038081247882887.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://www.behance.net/arielko">Ariel Kotzer</a>	הקובץ של MAdeinJLM	Ariel Kotzer																																										
