company,url,picture,address,Area,tags,numOfEmplyee,category,contactEmail,contactPhone,contactName,description,twitter,facebookPage,latitude,longitude,isHiring,on logo map?,tofes?,Company Type,Comments,"If your company is hiring, please add a link to the ""open position"" web page",~Year of establishment,~Are you familiar with the grants for Jerusalem based companies?,~Is your company looking to raise money?,~If yes- would you like to get more information about the grants?did,~If not - would you like to get more information about the grants?,~Is your company looking to raise money?,logo,Company,????,?? ????? ???????,"?????? ???""?",???? ??? ????,???,???? ????,???? ?????? ???,???? ?????,??????? ????? ?????,???? ???????,???? ??? ??? ???? ????? ????,???? ?????,???-????,"???""?",?.?,????? ?? ????? ??????? ???????? ????? ??????,??????,????? ??????,????? ????? ?? ?????? ??????,????? ??? ????,????? ?????,?????? ??????,?????? ????????,??????,????? ????,???? ????,?????? ?????,????? ???,??? ?????? ?????? ??????,????? ?????? ?? ?????? ???????,????? ????,???? ?????? ????,???? ????? ????????,????? ????? ????????,????,???????/???????,????? ?????,?????? ?????,????? Round A,???? Round A,????? Round B,???? Round B,????? Seed,???? Seed
CellCure Neurosciences Ltd.,,,,??? ????? ?????,,,,,02-5722006,??? ?????,,,,,,Nope,,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""""> CellCure Neurosciences Ltd.</a>","????? ?? ???""?",CellCure Neurosciences Ltd,??,??? ????,,??? ????,??,??,??,??,??,??? ???? ?????,??,,513752394,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,,??,??,??,,,,,,,,,,
3GSolar,http://www.3gsolar.com/,http://www.3gsolar.com/wp-content/themes/3gsolar/images/headerLogo.jpg,3 Hamarpe St.,HH,Mid,20,Energy,,(972) 73 7073750,Barry N. Breen,"Based on highly-efficient, low-cost DSC modules, Focused on the global PV market, 3GSolar offers a technical and economic alternative to traditional PV devices.",,,31.802254,35.211457,"Yes, we are hiring!",?,,,,,,,,,,,"<img src=""http://www.3gsolar.com/wp-content/themes/3gsolar/images/headerLogo.jpg"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.3gsolar.com/"">3GSolar</a>",????? ?? MAdeinJLM,3GSolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40Nuggets,http://40nuggets.com/,https://40nuggets.com/dashboard/images/logo.png,34 Ben Yoezer Yossi Jerusalem,South,Young,5,Mobile,Aaron Horowitz,,,"We line up your leads, tell you who wants what, and let you handle the business of selling. Customer intelligence without the hassle.",,,31.752894,35.206264,,V,,,,,,,,,,,"<img src=""https://40nuggets.com/dashboard/images/logo.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://40nuggets.com/"">40Nuggets</a>",????? ?? MAdeinJLM,40Nuggets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abe's market,http://www.abesmarket.com/,http://skin.abesmarket.com/skin/frontend/abe/responsive/images/header/abeslogo_r.png,Emek Refaim,South,Mid,30,Internet,Jon Polin,,,Abe’s Market is the online marketplace that gives natural product entrepreneurs a platform to showcase their products and tell their unique stories.,,,31.767599,35.223618,,V,,,,,,,,,,,"<img src=""http://skin.abesmarket.com/skin/frontend/abe/responsive/images/header/abeslogo_r.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.abesmarket.com/"">Abe's market</a>",????? ?? MAdeinJLM,Abe's market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accomplish software,http://www.accomplish-software.videoworldgroup.com,http://www.accomplish-software.videoworldgroup.com/photos/white_icon.png,Harav Hisdai Kreshkash 17/2,,,,Mobile,Yonatanreiss@gmail.com,9.72506E+11,Yonatan Reiss,Accomplish is a whole new aprouch to time management,,,,,,,,Startup,,,2012,,No,,,,"<img src=""http://www.accomplish-software.videoworldgroup.com/photos/white_icon.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.accomplish-software.videoworldgroup.com"">Accomplish software</a>",????? ?? MAdeinJLM,Accomplish software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accubeat,http://www.accubeat.co.il,,"????? 5, ??? ??????, ???? 3",?? ??????,,3,Hardware,,02-5868330,????? ?????,"????? , ????? ?????? ?????? ?????? ???? ????????, ????? ??? ???? ????????. ???? ?? ?? ????",,,31.802026,35.212115,"Yes, we are hiring!",,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.accubeat.co.il"">Accubeat</a>","????? ?? ???""?",accubeat,??,?????,,???-??,,??,??,??,??,????? ??? ????????,??,??? ???,511884538,??,??,??,??,??,,??,??,??,??,??,??,??,??,??,Yosef Apter,??,??,??,,14,9,,,,,,,
Algen Biopharmaceutical,http://www.biojerusalem.org.il/database_company.asp?ID=3,http://madeinjlm.org/map/1px.png,"Givat Ram, Jerusalem",GR,,,Medical,,,,Algen Biopharmaceuticals is developing technologies for tricking cancer cells into “committing suicide” and thus preventing their spread.,Read more: http://www.crunchbase.com/financial-organization/ourcrowd#ixzz2bB4sP82X,,31.779123,35.196724,,X,,,,,,,,,,,"<img src=""http://madeinjlm.org/map/1px.png"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.biojerusalem.org.il/database_company.asp?ID=3"">Algen Biopharmaceutical</a>",????? ?? MAdeinJLM,Algen Biopharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algen Biopharmaceuticals Inc.,,,,,,,Medical,,,,,,,,,,,,,,,,,,,,,"<img src="""" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href="""">Algen Biopharmaceuticals Inc.</a>","????? ?? ???""?",,"Givat Ram, Jerusalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnyClip,http://www.anyclip.com/,http://www.render.co.il/img/gallery/Anyclip_01.jpg,"Hevron Road 24, Jerusalem",JVP,Mid,20,Internet,Oren Nauman,,,"AnyClip enables users to find any moment from any movie in its database. Its technology and innovative user experience allows consumers to relive their favorite moments from their favorite movies. AnyClip partners with film and television studios to create new promotional channels for movies and monetize their catalog content. Leveraging its distribution network, AnyClip allows third-party sites to provide their users with fun, exciting and legal movie content services, increasing traffic and ARPU.",,,31.767147,35.225567,"Yes, we are hiring!",V,,,,,,,,,,,"<img src=""http://www.render.co.il/img/gallery/Anyclip_01.jpg"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""http://www.anyclip.com/"">AnyClip</a>",????? ?? MAdeinJLM,AnyClip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel Kotzer,https://www.behance.net/arielko,https://m1.behance.net/profiles5/103808/01038081247882887.jpg,bezalel 3,,,,Other,arielko@gmail.com,97226747070,Ariel Kotzer,"creative: ariel kotzer helps you figure out what you want to say and then helps you say it, convincingly and memorably.
online or off, in presentations, clips, campaigns, exhibits, websites and any other tool or media that's relevant to your need.
just ask google, intel, and teva, among others.",@arielko2,,,,,,,Service Provider / Outsource,,,,,,,,,"<img src=""https://m1.behance.net/profiles5/103808/01038081247882887.jpg"" style=""max-height: 100px;max-width: 100px;"" />","<a target=""_blank"" rel=""nofollow"" href=""https://www.behance.net/arielko"">Ariel Kotzer</a>",????? ?? MAdeinJLM,Ariel Kotzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
